2026-06-24T12:22:16.517550+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:21:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:22:46.640531+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:22:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:23:16.740302+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:22:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:23:46.835153+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:23:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:24:16.929485+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:23:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:24:47.013847+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:24:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:25:17.106690+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:24:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:25:47.196072+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:25:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:26:17.296951+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:25:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:26:47.390836+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:26:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:27:17.484752+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:26:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:27:47.580541+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:27:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:28:17.676152+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:27:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:28:47.774778+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:28:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:29:17.880551+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:28:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:29:47.973378+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:29:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:30:18.053129+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:29:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:30:48.152508+00:00 WRITE_SPLIT: Writing split proposed orders: BUY USDCHF 75.17 as 76 capped chunks; mode=live; export=2026-06-24T13:30:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:31:18.246832+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:30:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:31:48.335704+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:31:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:32:18.442581+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:31:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:32:48.525644+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:32:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:33:18.629987+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:32:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:33:48.732791+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:33:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:34:18.819837+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:33:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:34:48.919127+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:34:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:35:19.013333+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:34:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:35:49.108745+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:35:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:36:19.209815+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:35:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:36:49.313602+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:36:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:37:19.419093+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:36:56+00:00; candle=2026-06-24T13:15:00+00:00
