2026-06-23T20:53:17.054918+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:52:51+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:53:39.298709+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:53:21+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:53:47.124149+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:53:21+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:54:09.358618+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:53:51+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:54:17.199527+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:53:51+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:58:58.612862+00:00 WRITE_SPLIT: Writing split proposed orders: SELL EURGBP 3.25; BUY USDCHF 1.78 as 6 capped chunks; mode=live; export=2026-06-23T20:58:55+00:00; candle=2026-06-23T20:50:00+00:00
2026-06-23T20:59:06.453507+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:50:00+00:00; mode=live; export=2026-06-23T20:58:55+00:00; candle=2026-06-23T20:50:00+00:00
2026-06-23T21:01:16.412359+00:00 WRITE_SPLIT: Writing split proposed orders: SELL EURUSD 2.25 as 3 capped chunks; mode=live; export=2026-06-23T21:01:09+00:00; candle=2026-06-23T20:55:00+00:00
2026-06-23T21:01:24.250269+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:55:00+00:00; mode=live; export=2026-06-23T21:01:09+00:00; candle=2026-06-23T20:55:00+00:00
2026-06-23T21:01:46.494538+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:55:00+00:00; mode=live; export=2026-06-23T21:01:39+00:00; candle=2026-06-23T20:55:00+00:00
2026-06-23T21:01:54.331800+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:55:00+00:00; mode=live; export=2026-06-23T21:01:39+00:00; candle=2026-06-23T20:55:00+00:00
2026-06-23T21:19:42.821591+00:00 STALE_EXPORT: MT5 export is stale: 2026-06-23T21:01:53+00:00 age=1070s; mode=live; export=2026-06-23T21:01:53+00:00; candle=2026-06-23T21:10:00+00:00
2026-06-23T21:19:50.658949+00:00 HOLD: No meaningful orders after tiny-churn filter; mode=live; export=2026-06-23T21:19:45+00:00; candle=2026-06-23T21:10:00+00:00
2026-06-23T21:23:57.841841+00:00 WRITE_SPLIT: Writing split proposed orders: SELL USDCHF 1.78 as 2 capped chunks; mode=live; export=2026-06-23T21:23:44+00:00; candle=2026-06-23T21:15:00+00:00
2026-06-23T21:24:05.656397+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T21:15:00+00:00; mode=live; export=2026-06-23T21:23:44+00:00; candle=2026-06-23T21:15:00+00:00
